# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "merged.saf" "-F" "SAF" "-o" "counts.txt" "-T" "8" "-p" "aFLAG_FIX_R1.target.filtered.sorted.bam" "aFLAG_FIX_R2.target.filtered.sorted.bam" "aFLAG_NATIVE_R1.target.filtered.sorted.bam" "aFLAG_NATIVE_R2.target.filtered.sorted.bam" "aFOXP3_FIX_R1.target.filtered.sorted.bam" "aFOXP3_FIX_R2.target.filtered.sorted.bam" "aFOXP3_NATIVE_R1.target.filtered.sorted.bam" "aFOXP3_NATIVE_R2.target.filtered.sorted.bam" "aH3K4me3_NATIVE_R1.target.filtered.sorted.bam" "IgG_FIX_R1.target.filtered.sorted.bam" "IgG_NATIVE_R1.target.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aFLAG_FIX_R1.target.filtered.sorted.bam	aFLAG_FIX_R2.target.filtered.sorted.bam	aFLAG_NATIVE_R1.target.filtered.sorted.bam	aFLAG_NATIVE_R2.target.filtered.sorted.bam	aFOXP3_FIX_R1.target.filtered.sorted.bam	aFOXP3_FIX_R2.target.filtered.sorted.bam	aFOXP3_NATIVE_R1.target.filtered.sorted.bam	aFOXP3_NATIVE_R2.target.filtered.sorted.bam	aH3K4me3_NATIVE_R1.target.filtered.sorted.bam	IgG_FIX_R1.target.filtered.sorted.bam	IgG_NATIVE_R1.target.filtered.sorted.bam
chr1_1032414_1035330	chr1	1032414	1035330	.	2917	22	30	134	195	53	34	102	151	272	58	75
chr1_1038775_1045351	chr1	1038775	1045351	.	6577	95	61	261	362	121	66	142	224	244	95	222
chr1_1045662_1047324	chr1	1045662	1047324	.	1663	13	31	70	49	12	6	24	14	8	22	56
chr1_1047494_1052992	chr1	1047494	1052992	.	5499	70	65	142	273	53	32	81	160	62	58	130
chr1_1058536_1064965	chr1	1058536	1064965	.	6430	128	102	266	342	168	88	114	125	1158	142	218
chr1_1066396_1070614	chr1	1066396	1070614	.	4219	108	138	210	306	177	68	124	196	334	172	130
chr1_1071222_1073091	chr1	1071222	1073091	.	1870	26	6	100	130	4	14	39	42	20	36	36
chr1_1079284_1080461	chr1	1079284	1080461	.	1178	14	2	22	44	34	4	12	36	38	36	46
chr1_1081108_1086214	chr1	1081108	1086214	.	5107	59	92	180	229	73	28	75	92	75	60	99
chr1_1106562_1107461	chr1	1106562	1107461	.	900	12	12	44	26	4	4	13	30	7	6	22
chr1_1114630_1117339	chr1	1114630	1117339	.	2710	102	136	191	508	166	76	136	222	1116	148	155
chr1_1117677_1118659	chr1	1117677	1118659	.	983	14	11	29	34	5	8	14	10	22	11	12
chr1_1121273_1122473	chr1	1121273	1122473	.	1201	5	10	39	59	12	16	17	6	40	24	34
chr1_1124412_1129431	chr1	1124412	1129431	.	5020	35	16	99	230	54	19	82	58	104	68	67
chr1_1135731_1138264	chr1	1135731	1138264	.	2534	74	55	96	148	89	33	48	117	84	40	69
chr1_1142843_1145272	chr1	1142843	1145272	.	2430	30	24	58	123	58	31	38	24	36	25	103
chr1_1145501_1147047	chr1	1145501	1147047	.	1547	10	12	28	77	10	4	23	38	28	7	18
chr1_1149427_1151782	chr1	1149427	1151782	.	2356	14	40	71	48	27	4	34	30	41	16	31
chr1_1156894_1159085	chr1	1156894	1159085	.	2192	36	24	98	164	26	21	35	34	123	46	117
chr1_1161156_1164221	chr1	1161156	1164221	.	3066	20	18	120	194	24	16	44	59	28	30	100
chr1_1164486_1165381	chr1	1164486	1165381	.	896	38	4	27	83	21	6	18	46	22	4	17
chr1_1166286_1168707	chr1	1166286	1168707	.	2422	30	14	107	186	27	10	44	70	26	32	82
chr1_1170527_1172143	chr1	1170527	1172143	.	1617	8	11	54	56	32	8	32	14	16	26	32
chr1_1173422_1174387	chr1	1173422	1174387	.	966	8	16	33	19	36	12	22	6	20	12	40
chr1_1178487_1181984	chr1	1178487	1181984	.	3498	34	28	89	170	43	15	31	100	32	40	49
chr1_1196965_1198945	chr1	1196965	1198945	.	1981	25	12	68	108	19	31	50	56	38	30	10
chr1_1200750_1201910	chr1	1200750	1201910	.	1161	52	45	100	126	40	14	48	102	196	48	24
chr1_1202606_1215514	chr1	1202606	1215514	.	12909	208	289	324	750	303	112	202	236	1400	258	242
chr1_1216529_1220188	chr1	1216529	1220188	.	3660	55	54	107	178	66	40	65	84	71	113	74
chr1_1223335_1224205	chr1	1223335	1224205	.	871	12	4	21	26	13	2	20	20	28	7	20
chr1_1224968_1226121	chr1	1224968	1226121	.	1154	17	7	22	24	6	2	8	6	26	2	3
chr1_1227032_1228816	chr1	1227032	1228816	.	1785	27	26	70	109	20	10	62	66	36	14	44
chr1_1230778_1233969	chr1	1230778	1233969	.	3192	125	110	255	384	100	38	222	392	1545	232	60
chr1_1235975_1240367	chr1	1235975	1240367	.	4393	48	42	137	270	57	30	48	88	79	56	91
chr1_1241764_1244814	chr1	1241764	1244814	.	3051	33	34	158	172	19	16	36	92	55	64	118
chr1_1245194_1248127	chr1	1245194	1248127	.	2934	22	10	56	126	14	12	30	50	52	32	73
chr1_1253868_1255630	chr1	1253868	1255630	.	1763	9	16	70	87	23	9	31	40	22	16	26
chr1_1260755_1261759	chr1	1260755	1261759	.	1005	0	0	4	14	4	8	2	0	22	0	5
chr1_1271779_1275222	chr1	1271779	1275222	.	3444	155	160	227	310	190	88	182	240	3002	151	85
chr1_1281130_1282063	chr1	1281130	1282063	.	934	13	9	20	38	18	8	5	12	26	2	7
chr1_1284505_1285654	chr1	1284505	1285654	.	1150	10	2	28	44	4	8	2	2	24	9	16
chr1_1285823_1288260	chr1	1285823	1288260	.	2438	22	24	118	128	28	6	46	48	34	18	72
chr1_1292064_1297069	chr1	1292064	1297069	.	5006	42	24	192	264	62	14	106	124	65	44	59
chr1_1298030_1300156	chr1	1298030	1300156	.	2127	31	17	80	125	24	12	35	29	36	37	43
chr1_1302647_1303641	chr1	1302647	1303641	.	995	8	17	31	13	8	2	16	5	30	16	22
chr1_1305098_1314090	chr1	1305098	1314090	.	8993	441	514	462	964	658	217	428	533	3142	598	382
chr1_1319155_1320082	chr1	1319155	1320082	.	928	10	17	16	8	19	6	14	6	28	1	9
chr1_1320473_1323398	chr1	1320473	1323398	.	2926	51	30	50	53	22	20	22	38	104	26	3
chr1_1323684_1326643	chr1	1323684	1326643	.	2960	278	196	232	612	265	93	152	200	2538	221	183
chr1_1326920_1329816	chr1	1326920	1329816	.	2897	30	34	94	82	64	6	40	26	66	51	40
chr1_1331264_1333941	chr1	1331264	1333941	.	2678	24	37	90	136	21	28	46	72	60	18	100
chr1_1335857_1341277	chr1	1335857	1341277	.	5421	38	62	208	288	81	42	76	78	120	30	105
chr1_1341784_1342338	chr1	1341784	1342338	.	555	4	6	12	35	4	6	6	32	13	6	23
chr1_1342955_1346704	chr1	1342955	1346704	.	3750	28	13	79	120	32	22	38	19	94	21	60
chr1_1346984_1349180	chr1	1346984	1349180	.	2197	36	20	52	84	20	4	54	94	594	32	50
chr1_1349543_1350038	chr1	1349543	1350038	.	496	12	18	22	58	6	4	30	56	540	10	0
chr1_1351427_1352440	chr1	1351427	1352440	.	1014	6	12	16	26	20	14	8	10	22	4	20
chr1_1352988_1356026	chr1	1352988	1356026	.	3039	18	21	130	202	28	36	72	93	81	58	83
chr1_1356912_1357427	chr1	1356912	1357427	.	516	3	10	17	21	9	0	2	18	26	4	14
chr1_1357623_1359135	chr1	1357623	1359135	.	1513	21	4	13	70	17	8	6	2	22	2	15
chr1_1371692_1377468	chr1	1371692	1377468	.	5777	148	168	178	409	194	74	127	143	1788	165	80
chr1_1379687_1380414	chr1	1379687	1380414	.	728	12	0	8	13	3	6	2	2	22	4	8
chr1_1382816_1384382	chr1	1382816	1384382	.	1567	8	0	18	10	18	12	11	20	40	10	28
chr1_1397838_1400987	chr1	1397838	1400987	.	3150	114	94	132	228	150	68	88	112	2226	146	124
chr1_1401149_1408557	chr1	1401149	1408557	.	7409	130	154	196	468	186	108	144	186	3352	218	102
chr1_1409954_1411543	chr1	1409954	1411543	.	1590	5	14	4	12	3	6	7	6	24	9	5
chr1_1419063_1420118	chr1	1419063	1420118	.	1056	12	14	64	48	1	4	12	27	16	6	26
chr1_1420422_1421387	chr1	1420422	1421387	.	966	8	2	14	40	10	2	6	14	22	3	24
chr1_1426130_1428103	chr1	1426130	1428103	.	1974	26	16	88	90	17	10	40	44	48	25	35
chr1_1430307_1431089	chr1	1430307	1431089	.	783	8	28	34	58	5	4	12	36	14	14	24
chr1_1432519_1433869	chr1	1432519	1433869	.	1351	9	0	46	82	5	8	20	19	13	15	20
chr1_1434922_1436145	chr1	1434922	1436145	.	1224	5	3	32	64	12	5	24	24	58	0	4
chr1_1440564_1442683	chr1	1440564	1442683	.	2120	15	10	28	57	20	7	32	14	24	12	18
chr1_1470676_1472455	chr1	1470676	1472455	.	1780	69	62	68	144	94	40	64	34	806	106	66
chr1_1472764_1474383	chr1	1472764	1474383	.	1620	20	0	8	36	10	5	2	4	32	8	13
chr1_1507914_1509903	chr1	1507914	1509903	.	1990	11	7	76	77	30	12	24	24	36	23	48
chr1_1510835_1514113	chr1	1510835	1514113	.	3279	86	70	164	300	106	61	80	164	1186	161	60
chr1_1534306_1537297	chr1	1534306	1537297	.	2992	33	14	136	157	16	14	28	82	45	16	108
chr1_1538818_1541596	chr1	1538818	1541596	.	2779	22	23	86	192	33	6	48	82	74	24	71
chr1_1542697_1543932	chr1	1542697	1543932	.	1236	2	18	40	52	12	6	18	3	28	12	25
chr1_1572527_1576172	chr1	1572527	1576172	.	3646	226	213	194	469	238	75	153	202	1682	226	200
chr1_1596567_1598226	chr1	1596567	1598226	.	1660	10	8	20	15	12	6	4	6	44	12	44
chr1_1598438_1599979	chr1	1598438	1599979	.	1542	12	28	68	113	16	12	36	63	73	10	20
chr1_1600149_1601202	chr1	1600149	1601202	.	1054	28	4	74	73	33	11	16	22	102	8	4
chr1_1614277_1622631	chr1	1614277	1622631	.	8355	195	148	252	522	297	120	197	252	1667	195	208
chr1_1622823_1632742	chr1	1622823	1632742	.	9920	429	438	654	1260	470	194	418	626	768	623	466
chr1_1658571_1659866	chr1	1658571	1659866	.	1296	208	242	172	298	186	62	84	176	672	230	178
chr1_1692300_1693413	chr1	1692300	1693413	.	1114	34	14	13	20	52	12	14	26	216	14	14
chr1_1694185_1694934	chr1	1694185	1694934	.	750	4	6	22	20	5	5	4	10	20	9	2
chr1_1723869_1725141	chr1	1723869	1725141	.	1273	124	126	68	136	134	60	72	62	670	114	130
chr1_1745533_1746739	chr1	1745533	1746739	.	1207	2	4	4	16	26	8	2	16	94	14	16
chr1_1753604_1754994	chr1	1753604	1754994	.	1391	8	4	26	70	8	5	40	29	42	8	19
chr1_1758531_1759900	chr1	1758531	1759900	.	1370	7	8	21	45	4	5	16	22	24	23	17
chr1_1776270_1777293	chr1	1776270	1777293	.	1024	12	22	0	0	6	1	9	0	22	11	4
chr1_1777811_1779919	chr1	1777811	1779919	.	2109	136	114	232	351	180	62	124	290	1078	207	56
chr1_1781833_1783737	chr1	1781833	1783737	.	1905	59	19	62	79	59	12	46	48	22	20	102
chr1_1889233_1893888	chr1	1889233	1893888	.	4656	169	146	252	428	234	101	114	230	3924	202	180
chr1_1899432_1900310	chr1	1899432	1900310	.	879	6	2	13	22	8	2	12	10	26	14	0
chr1_1903201_1904696	chr1	1903201	1904696	.	1496	12	0	8	7	4	5	2	10	22	12	10
chr1_1906051_1910148	chr1	1906051	1910148	.	4098	100	118	161	247	94	23	107	152	702	108	97
chr1_1913272_1914711	chr1	1913272	1914711	.	1440	8	12	15	16	2	1	8	0	40	10	8
chr1_1916634_1920945	chr1	1916634	1920945	.	4312	122	96	171	449	149	54	144	170	340	93	121
chr1_1968254_1969908	chr1	1968254	1969908	.	1655	11	8	42	49	24	6	20	10	2	16	12
chr1_1974329_1975830	chr1	1974329	1975830	.	1502	4	5	8	2	2	2	5	32	14	12	0
chr1_1980713_1981234	chr1	1980713	1981234	.	522	2	0	16	37	0	0	1	32	2	13	2
chr1_2049293_2052419	chr1	2049293	2052419	.	3127	60	62	123	221	56	40	107	140	484	48	108
chr1_2073525_2074487	chr1	2073525	2074487	.	963	6	6	28	56	4	2	18	54	14	0	64
chr1_2132855_2134550	chr1	2132855	2134550	.	1696	41	33	44	92	49	20	42	37	42	20	102
chr1_2169129_2170209	chr1	2169129	2170209	.	1081	10	11	16	40	10	2	16	26	24	2	28
chr1_2189088_2191148	chr1	2189088	2191148	.	2061	32	48	81	74	78	14	30	33	108	34	109
chr1_2192382_2206513	chr1	2192382	2206513	.	14132	276	262	407	574	396	164	214	234	1060	206	230
chr1_2212198_2213712	chr1	2212198	2213712	.	1515	16	10	38	79	33	27	12	19	30	22	2
chr1_2223555_2225011	chr1	2223555	2225011	.	1457	21	8	24	13	20	13	8	36	42	12	8
chr1_2226410_2228065	chr1	2226410	2228065	.	1656	56	38	86	128	37	14	92	154	80	34	60
chr1_2228711_2234005	chr1	2228711	2234005	.	5295	62	92	136	183	140	66	82	92	2454	92	140
chr1_2250184_2251157	chr1	2250184	2251157	.	974	26	6	58	28	14	7	8	20	18	30	30
chr1_2270473_2272087	chr1	2270473	2272087	.	1615	23	26	20	64	24	2	44	4	18	14	33
chr1_2290020_2291793	chr1	2290020	2291793	.	1774	49	23	28	54	92	50	46	0	28	61	36
chr1_2292636_2293557	chr1	2292636	2293557	.	922	7	4	8	51	12	6	14	10	20	18	36
chr1_2299634_2301739	chr1	2299634	2301739	.	2106	52	25	62	84	249	51	24	14	84	74	85
chr1_2303309_2304733	chr1	2303309	2304733	.	1425	7	10	69	148	35	16	18	75	20	20	32
chr1_2305109_2307778	chr1	2305109	2307778	.	2670	50	57	128	146	24	36	76	98	35	31	47
chr1_2309886_2311726	chr1	2309886	2311726	.	1841	16	6	66	46	24	6	43	15	10	10	27
chr1_2312239_2316776	chr1	2312239	2316776	.	4538	102	88	238	363	117	54	110	140	269	144	80
chr1_2317381_2318888	chr1	2317381	2318888	.	1508	14	6	50	68	31	6	21	60	6	10	68
chr1_2320976_2321699	chr1	2320976	2321699	.	724	2	10	42	29	10	1	10	22	7	17	20
chr1_2322011_2323333	chr1	2322011	2323333	.	1323	16	14	52	91	24	19	25	48	18	33	58
chr1_2327653_2329170	chr1	2327653	2329170	.	1518	13	10	40	52	7	10	36	8	8	0	19
chr1_2330555_2333915	chr1	2330555	2333915	.	3361	10	40	116	78	31	9	30	60	10	35	81
chr1_2335583_2337395	chr1	2335583	2337395	.	1813	14	0	78	61	4	14	26	17	12	7	47
chr1_2342918_2345660	chr1	2342918	2345660	.	2743	8	18	83	172	21	20	40	30	26	30	47
chr1_2354601_2356832	chr1	2354601	2356832	.	2232	32	6	54	85	18	10	18	30	34	20	34
chr1_2357894_2359207	chr1	2357894	2359207	.	1314	4	12	24	27	10	6	8	10	20	4	16
chr1_2375939_2378171	chr1	2375939	2378171	.	2233	17	4	84	29	13	6	6	6	10	4	5
chr1_2390318_2392575	chr1	2390318	2392575	.	2258	107	118	182	336	100	54	149	230	2252	128	63
chr1_2399450_2400570	chr1	2399450	2400570	.	1121	8	2	2	10	10	4	15	0	24	6	16
chr1_2403971_2405633	chr1	2403971	2405633	.	1663	16	4	43	10	20	8	11	10	30	20	6
chr1_2407636_2410527	chr1	2407636	2410527	.	2892	23	20	48	107	22	12	32	32	60	10	79
chr1_2411227_2417079	chr1	2411227	2417079	.	5853	84	76	313	288	154	70	176	291	1930	190	136
chr1_2418940_2420575	chr1	2418940	2420575	.	1636	8	4	38	6	20	10	12	6	15	8	16
chr1_2427541_2428965	chr1	2427541	2428965	.	1425	8	19	45	63	17	6	22	44	22	16	34
chr1_2456908_2458334	chr1	2456908	2458334	.	1427	2	2	35	56	16	12	18	34	16	32	38
chr1_2471038_2472790	chr1	2471038	2472790	.	1753	12	12	48	57	19	9	20	24	20	30	12
chr1_2476079_2477045	chr1	2476079	2477045	.	967	7	8	20	60	15	2	7	20	20	10	16
chr1_2481043_2483501	chr1	2481043	2483501	.	2459	26	18	40	29	11	10	32	14	24	14	44
chr1_2495018_2496602	chr1	2495018	2496602	.	1585	25	12	52	80	14	1	18	25	8	35	45
chr1_2498454_2502792	chr1	2498454	2502792	.	4339	34	30	124	243	89	18	41	72	43	20	98
chr1_2503230_2507357	chr1	2503230	2507357	.	4128	30	31	165	269	39	12	64	70	28	27	44
chr1_2507684_2508613	chr1	2507684	2508613	.	930	8	4	52	71	13	0	2	12	6	8	21
chr1_2523109_2525008	chr1	2523109	2525008	.	1900	18	6	22	40	123	30	6	6	116	26	14
chr1_2525192_2531221	chr1	2525192	2531221	.	6030	108	130	160	348	264	107	169	204	1142	126	162
chr1_2534604_2535886	chr1	2534604	2535886	.	1283	2	16	29	24	24	13	9	4	42	12	12
chr1_2543805_2550430	chr1	2543805	2550430	.	6626	256	268	310	481	600	164	172	248	1242	286	283
chr1_2553678_2560319	chr1	2553678	2560319	.	6642	98	114	164	226	211	84	62	88	562	139	134
chr1_2566344_2568124	chr1	2566344	2568124	.	1781	14	11	16	45	4	2	20	4	52	0	20
chr1_2577530_2578218	chr1	2577530	2578218	.	689	30	26	2	22	43	44	19	2	24	23	27
chr1_2584885_2589427	chr1	2584885	2589427	.	4543	133	106	218	351	193	79	156	138	1958	163	68
chr1_2595930_2596801	chr1	2595930	2596801	.	872	1	4	21	30	21	12	20	16	26	7	8
chr1_2605709_2608140	chr1	2605709	2608140	.	2432	12	10	104	112	23	11	30	44	16	21	32
chr1_2628747_2629984	chr1	2628747	2629984	.	1238	7	6	48	46	5	4	34	26	20	4	22
chr1_2641233_2644103	chr1	2641233	2644103	.	2871	178	170	248	380	250	77	108	174	461	202	128
chr1_2789625_2790806	chr1	2789625	2790806	.	1182	6	26	31	59	8	0	28	40	10	16	29
chr1_2799957_2801121	chr1	2799957	2801121	.	1165	24	6	58	103	14	2	28	46	11	18	64
chr1_2808331_2809591	chr1	2808331	2809591	.	1261	6	6	48	16	18	2	19	6	4	18	19
chr1_2812947_2813788	chr1	2812947	2813788	.	842	8	2	46	54	10	6	16	12	6	0	14
chr1_2875760_2877395	chr1	2875760	2877395	.	1636	5	14	50	93	7	0	28	46	32	16	22
chr1_2882877_2884582	chr1	2882877	2884582	.	1706	13	10	38	30	25	10	9	42	26	12	72
chr1_2904257_2905230	chr1	2904257	2905230	.	974	8	4	36	41	14	18	32	30	15	14	2
chr1_2967060_2967802	chr1	2967060	2967802	.	743	1	4	40	6	10	4	6	6	4	0	14
chr1_3002840_3004477	chr1	3002840	3004477	.	1638	6	2	42	10	4	0	3	6	2	8	20
chr1_3017413_3019578	chr1	3017413	3019578	.	2166	10	4	17	106	8	14	25	14	5	22	26
chr1_3062619_3064208	chr1	3062619	3064208	.	1590	16	9	60	64	14	21	54	36	22	23	22
chr1_3067248_3071741	chr1	3067248	3071741	.	4494	45	47	162	241	36	6	64	114	98	44	113
chr1_3072140_3074206	chr1	3072140	3074206	.	2067	18	4	73	132	20	5	19	25	15	25	12
chr1_3121668_3124240	chr1	3121668	3124240	.	2573	31	8	50	47	24	14	22	28	15	16	26
chr1_3125610_3126124	chr1	3125610	3126124	.	515	2	4	10	32	2	0	5	13	20	16	10
chr1_3135213_3137158	chr1	3135213	3137158	.	1946	8	16	62	66	17	14	22	18	10	17	36
chr1_3211273_3212622	chr1	3211273	3212622	.	1350	24	6	46	17	0	18	18	26	4	24	46
chr1_3215434_3216337	chr1	3215434	3216337	.	904	3	1	3	3	5	0	3	9	18	0	0
chr1_3240849_3241618	chr1	3240849	3241618	.	770	12	18	48	42	3	0	10	32	6	6	18
chr1_3393293_3394715	chr1	3393293	3394715	.	1423	14	10	84	86	20	4	32	44	12	14	40
chr1_3404109_3406095	chr1	3404109	3406095	.	1987	10	10	73	119	29	12	12	42	14	14	62
chr1_3411119_3413438	chr1	3411119	3413438	.	2320	14	16	100	92	14	11	23	30	24	20	52
chr1_3453046_3455455	chr1	3453046	3455455	.	2410	34	11	50	83	38	10	59	46	20	16	35
chr1_3462998_3463872	chr1	3462998	3463872	.	875	6	0	44	42	2	9	8	14	1	1	16
chr1_3465980_3468162	chr1	3465980	3468162	.	2183	26	9	80	86	48	10	23	32	10	24	40
chr1_3470983_3472177	chr1	3470983	3472177	.	1195	5	9	40	10	8	7	15	11	6	12	4
chr1_3472395_3473972	chr1	3472395	3473972	.	1578	6	9	48	40	8	10	17	24	4	10	25
chr1_3481237_3482457	chr1	3481237	3482457	.	1221	10	2	28	32	7	16	40	1	4	4	25
chr1_3493336_3495207	chr1	3493336	3495207	.	1872	2	14	46	55	29	4	18	24	10	0	18
chr1_3496429_3498320	chr1	3496429	3498320	.	1892	18	15	58	90	12	7	20	17	10	11	37
chr1_3499475_3502047	chr1	3499475	3502047	.	2573	14	20	94	123	18	34	38	68	26	32	88
chr1_3530067_3532210	chr1	3530067	3532210	.	2144	17	24	114	74	30	17	42	117	317	32	17
chr1_3540964_3543702	chr1	3540964	3543702	.	2739	39	28	67	116	19	17	29	56	12	30	24
chr1_3550404_3551230	chr1	3550404	3551230	.	827	0	2	24	36	7	2	10	30	0	13	8
chr1_3554927_3556247	chr1	3554927	3556247	.	1321	4	4	14	34	0	8	5	4	20	12	32
chr1_3570446_3571018	chr1	3570446	3571018	.	573	1	0	7	12	6	12	6	0	18	2	3
chr1_3597512_3598532	chr1	3597512	3598532	.	1021	10	8	42	82	18	2	14	4	8	24	30
chr1_3602082_3603240	chr1	3602082	3603240	.	1159	10	9	21	50	4	8	24	32	9	3	20
chr1_3607157_3608296	chr1	3607157	3608296	.	1140	4	10	42	29	10	2	6	11	6	8	22
chr1_3610634_3612322	chr1	3610634	3612322	.	1689	23	14	54	124	20	6	16	54	31	10	28
chr1_3623016_3626185	chr1	3623016	3626185	.	3170	68	84	146	184	188	70	176	254	1626	92	62
chr1_3649369_3650259	chr1	3649369	3650259	.	891	37	44	50	86	41	13	54	30	474	37	58
chr1_3650560_3653300	chr1	3650560	3653300	.	2741	37	64	114	196	42	22	54	74	142	49	48
chr1_3696213_3697372	chr1	3696213	3697372	.	1160	14	8	62	66	11	0	16	34	12	9	28
chr1_3746309_3747868	chr1	3746309	3747868	.	1560	20	26	68	145	51	16	50	29	220	54	14
chr1_3771163_3776296	chr1	3771163	3776296	.	5134	95	50	123	327	91	41	58	90	312	79	74
chr1_3789303_3790760	chr1	3789303	3790760	.	1458	12	12	30	62	16	3	8	24	30	8	21
chr1_3795070_3796750	chr1	3795070	3796750	.	1681	58	54	62	132	44	17	36	87	1332	48	10
chr1_3855690_3858288	chr1	3855690	3858288	.	2599	199	174	213	372	262	74	108	227	1622	222	247
chr1_3898957_3902955	chr1	3898957	3902955	.	3999	172	131	80	320	378	142	92	108	710	152	202
chr1_3907373_3908048	chr1	3907373	3908048	.	676	2	8	5	30	2	4	32	0	6	4	19
chr1_4000328_4001344	chr1	4000328	4001344	.	1017	3	6	38	2	10	6	8	8	8	6	8
chr1_4710785_4712660	chr1	4710785	4712660	.	1876	4	12	78	158	32	4	24	32	8	9	20
chr1_5836639_5837360	chr1	5836639	5837360	.	722	5	2	7	19	3	8	0	2	20	2	0
chr1_5858052_5859472	chr1	5858052	5859472	.	1421	12	23	46	20	2	2	14	18	8	8	30
chr1_5988566_5989985	chr1	5988566	5989985	.	1420	8	10	6	4	12	2	6	0	28	3	8
chr1_5991186_5994751	chr1	5991186	5994751	.	3566	258	334	313	508	489	221	166	301	3460	378	285
chr1_5994926_5996014	chr1	5994926	5996014	.	1089	0	4	4	2	21	14	0	1	22	6	5
chr1_6025218_6028687	chr1	6025218	6028687	.	3470	64	86	55	70	133	62	46	33	176	58	52
chr1_6088790_6089494	chr1	6088790	6089494	.	705	7	13	10	24	0	4	11	8	22	4	0
chr1_6109783_6110486	chr1	6109783	6110486	.	704	21	2	56	20	6	0	18	30	3	4	13
chr1_6154548_6154979	chr1	6154548	6154979	.	432	1	9	15	48	6	4	4	30	3	0	14
chr1_6198199_6200477	chr1	6198199	6200477	.	2279	104	50	42	132	120	54	41	30	628	115	88
chr1_6201571_6203237	chr1	6201571	6203237	.	1667	12	2	16	29	11	6	14	5	30	6	3
chr1_6204124_6209732	chr1	6204124	6209732	.	5609	76	98	150	259	187	54	92	143	1540	64	118
chr1_6210734_6211358	chr1	6210734	6211358	.	625	0	4	21	20	6	5	12	2	26	14	9
chr1_6234678_6237146	chr1	6234678	6237146	.	2469	72	19	68	144	70	42	108	133	1260	40	59
chr1_6241148_6242970	chr1	6241148	6242970	.	1823	25	20	58	87	30	8	47	72	32	10	16
chr1_6243998_6246931	chr1	6243998	6246931	.	2934	30	50	84	262	44	16	52	80	96	53	28
chr1_6259829_6261979	chr1	6259829	6261979	.	2151	58	47	90	150	57	2	54	76	164	40	64
chr1_6268388_6268846	chr1	6268388	6268846	.	459	6	0	0	24	0	11	8	34	13	9	21
