# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "merged_peaks.saf" "-F" "SAF" "-p" "-o" "counts.txt" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aH3K4me3_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_NATIVE_R1.target.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aH3K4me3_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_NATIVE_R1.target.filtered.sorted.bam
peak82	chr1	1409955	1411543	.	1589	5	14	4	12	3	6	7	6	24	9	5
peak83	chr1	1419064	1420118	.	1055	12	14	64	48	1	4	12	27	16	6	26
peak84	chr1	1420423	1421387	.	965	8	2	14	40	10	2	6	14	22	3	24
peak85	chr1	1426131	1428103	.	1973	26	16	88	90	17	10	40	44	48	25	35
peak86	chr1	1430308	1431089	.	782	8	28	34	58	5	4	12	36	14	14	24
peak87	chr1	1432520	1433869	.	1350	9	0	46	82	5	8	20	19	13	15	20
peak88	chr1	1434923	1436145	.	1223	5	3	32	64	12	5	24	24	58	0	4
peak89	chr1	1440565	1442683	.	2119	15	10	28	57	20	7	32	14	24	12	18
peak90	chr1	1470677	1472455	.	1779	69	62	68	144	94	40	64	34	806	106	66
peak91	chr1	1472765	1474383	.	1619	20	0	8	36	10	5	2	4	32	8	13
peak92	chr1	1507915	1509903	.	1989	11	7	76	77	30	12	24	24	36	23	48
peak93	chr1	1510836	1514113	.	3278	86	70	164	300	106	61	80	164	1186	161	60
peak94	chr1	1534307	1537297	.	2991	33	14	136	157	16	14	28	82	45	16	108
peak95	chr1	1538819	1541596	.	2778	22	23	86	192	33	6	48	82	74	24	71
peak96	chr1	1542698	1543932	.	1235	2	18	40	52	12	6	18	3	28	12	25
peak97	chr1	1572528	1576172	.	3645	226	213	194	469	238	75	153	202	1682	226	200
peak98	chr1	1596568	1598226	.	1659	10	8	20	15	12	6	4	6	44	12	44
peak99	chr1	1598439	1599979	.	1541	12	28	68	113	16	12	36	63	73	10	20
peak100	chr1	1600150	1601202	.	1053	28	4	74	73	33	11	16	22	102	8	4
peak101	chr1	1614278	1622631	.	8354	195	148	252	522	297	120	197	252	1667	195	208
peak102	chr1	1622824	1632742	.	9919	429	438	654	1260	470	194	418	626	768	623	466
peak103	chr1	1658572	1659866	.	1295	208	242	172	298	186	62	84	176	672	230	178
peak104	chr1	1692301	1693413	.	1113	34	14	13	20	52	12	14	26	216	14	14
peak105	chr1	1694186	1694934	.	749	4	6	22	20	5	5	4	10	20	9	2
peak106	chr1	1723870	1725141	.	1272	124	126	68	136	134	60	72	62	670	114	130
peak107	chr1	1745534	1746739	.	1206	2	4	4	16	26	8	2	16	94	14	16
peak108	chr1	1753605	1754994	.	1390	8	4	26	70	8	5	40	29	42	8	19
peak109	chr1	1758532	1759900	.	1369	7	8	21	45	4	5	16	22	24	23	17
peak110	chr1	1776271	1777293	.	1023	12	22	0	0	6	1	9	0	22	11	4
peak111	chr1	1777812	1779919	.	2108	136	114	232	351	180	62	124	290	1078	207	56
peak112	chr1	1781834	1783737	.	1904	59	19	62	79	59	12	46	48	22	20	102
peak113	chr1	1889234	1893888	.	4655	169	146	252	428	234	101	114	230	3924	202	180
peak114	chr1	1899433	1900310	.	878	6	2	13	22	8	2	12	10	26	14	0
peak115	chr1	1903202	1904696	.	1495	12	0	8	7	4	5	2	10	22	12	10
peak116	chr1	1906052	1910148	.	4097	100	118	161	247	94	23	107	152	702	108	97
peak117	chr1	1913273	1914711	.	1439	8	12	15	16	2	1	8	0	40	10	8
peak118	chr1	1916635	1920945	.	4311	122	96	171	449	149	54	144	170	340	93	121
peak119	chr1	1968255	1969908	.	1654	11	8	42	49	24	6	20	10	2	16	12
peak120	chr1	1974330	1975830	.	1501	4	5	8	2	2	2	5	32	14	12	0
peak121	chr1	1980714	1981234	.	521	2	0	16	37	0	0	1	32	2	13	2
peak122	chr1	2049294	2052419	.	3126	60	62	123	221	56	40	107	140	484	48	108
peak123	chr1	2073526	2074487	.	962	6	6	28	56	4	2	18	54	14	0	64
peak124	chr1	2132856	2134550	.	1695	41	33	44	92	49	20	42	37	42	20	102
peak125	chr1	2169130	2170209	.	1080	10	11	16	40	10	2	16	26	24	2	28
peak126	chr1	2189089	2191148	.	2060	32	48	81	74	78	14	30	33	108	34	109
peak127	chr1	2192383	2206513	.	14131	276	262	407	574	396	164	214	234	1060	206	230
peak128	chr1	2212199	2213712	.	1514	16	10	38	79	33	27	12	19	30	22	2
peak129	chr1	2223556	2225011	.	1456	21	8	24	13	20	13	8	36	42	12	8
peak130	chr1	2226411	2228065	.	1655	56	38	86	128	37	14	92	154	80	34	60
peak131	chr1	2228712	2234005	.	5294	62	92	136	183	140	66	82	92	2454	92	140
peak132	chr1	2250185	2251157	.	973	26	6	58	28	14	7	8	20	18	30	30
peak133	chr1	2270474	2272087	.	1614	23	26	20	64	24	2	44	4	18	14	33
peak134	chr1	2290021	2291793	.	1773	49	23	28	54	92	50	46	0	28	61	36
peak135	chr1	2292637	2293557	.	921	7	4	8	51	12	6	13	10	20	18	36
peak136	chr1	2299635	2301739	.	2105	52	25	62	84	249	51	24	14	84	74	85
peak137	chr1	2303310	2304733	.	1424	7	10	69	148	35	16	18	75	20	20	32
peak138	chr1	2305110	2307778	.	2669	50	57	128	146	24	36	76	98	35	31	47
peak139	chr1	2309887	2311726	.	1840	16	6	66	46	24	6	43	15	10	10	27
peak140	chr1	2312240	2316776	.	4537	102	88	238	363	117	54	110	140	269	144	80
peak141	chr1	2317382	2318888	.	1507	14	6	50	68	31	6	21	60	6	10	68
peak142	chr1	2320977	2321699	.	723	2	10	42	29	10	1	10	22	7	17	20
peak143	chr1	2322012	2323333	.	1322	16	14	52	91	24	19	25	48	18	33	58
peak144	chr1	2327654	2329170	.	1517	13	10	40	52	7	10	36	8	8	0	19
peak145	chr1	2330556	2333915	.	3360	10	40	116	78	31	9	30	60	10	35	81
peak146	chr1	2335584	2337395	.	1812	14	0	78	61	4	14	26	17	12	7	47
peak147	chr1	2342919	2345660	.	2742	8	18	83	172	21	20	40	30	26	30	47
peak148	chr1	2354602	2356832	.	2231	32	6	54	85	18	10	18	30	34	20	34
peak149	chr1	2357895	2359207	.	1313	4	12	24	27	10	6	8	10	20	4	16
peak150	chr1	2375940	2378171	.	2232	17	4	84	29	13	6	6	6	10	4	5
peak151	chr1	2390319	2392575	.	2257	107	118	182	336	100	54	149	230	2252	128	63
peak152	chr1	2399451	2400570	.	1120	8	2	2	10	10	4	15	0	24	6	16
peak153	chr1	2403972	2405633	.	1662	16	4	43	10	20	8	11	10	30	20	6
peak154	chr1	2407637	2410527	.	2891	23	20	48	107	22	12	32	32	60	10	79
peak155	chr1	2411228	2417079	.	5852	84	76	313	288	154	70	176	291	1930	190	136
peak156	chr1	2418941	2420575	.	1635	8	4	38	6	20	10	12	6	14	8	16
peak157	chr1	2427542	2428965	.	1424	8	19	45	63	17	6	22	44	22	16	34
peak158	chr1	2456909	2458334	.	1426	2	2	35	56	16	12	18	34	16	32	38
peak159	chr1	2471039	2472790	.	1752	12	12	48	57	19	9	20	24	20	30	12
peak160	chr1	2476080	2477045	.	966	7	8	20	60	15	2	7	20	20	10	16
peak161	chr1	2481044	2483501	.	2458	26	18	40	29	11	10	32	14	24	14	44
peak162	chr1	2495019	2496602	.	1584	25	12	52	80	14	1	18	25	8	35	45
peak163	chr1	2498455	2502792	.	4338	34	30	124	243	89	18	41	72	43	20	98
peak164	chr1	2503231	2507357	.	4127	30	31	165	269	39	12	64	70	28	27	44
peak165	chr1	2507685	2508613	.	929	8	4	52	71	13	0	2	12	6	8	21
peak166	chr1	2523110	2525008	.	1899	18	6	22	40	123	30	6	6	116	26	14
peak167	chr1	2525193	2531221	.	6029	108	130	160	348	264	107	169	204	1142	126	162
peak168	chr1	2534605	2535886	.	1282	2	16	29	24	24	13	9	4	42	12	12
peak169	chr1	2543806	2550430	.	6625	256	268	310	481	600	164	172	248	1242	286	283
peak170	chr1	2553679	2560319	.	6641	98	114	164	226	211	84	62	88	562	139	134
peak171	chr1	2566345	2568124	.	1780	14	11	16	45	4	2	20	4	52	0	20
peak172	chr1	2577531	2578218	.	688	30	26	2	22	43	44	19	2	24	23	27
peak173	chr1	2584886	2589427	.	4542	133	106	218	351	193	79	156	138	1958	163	68
peak174	chr1	2595931	2596801	.	871	1	4	21	30	21	12	20	16	26	7	8
peak175	chr1	2605710	2608140	.	2431	12	10	104	112	23	11	30	44	16	21	32
peak176	chr1	2628748	2629984	.	1237	7	6	48	46	5	4	34	26	20	4	22
peak177	chr1	2641234	2644103	.	2870	178	170	248	380	250	77	108	174	461	202	128
peak178	chr1	2789626	2790806	.	1181	6	26	31	59	8	0	28	40	10	16	29
peak179	chr1	2799958	2801121	.	1164	24	6	58	103	14	2	28	46	11	18	64
peak180	chr1	2808332	2809591	.	1260	6	6	48	16	18	2	19	6	4	18	19
peak181	chr1	2812948	2813788	.	841	8	2	46	54	10	6	16	12	6	0	14
peak182	chr1	2875761	2877395	.	1635	5	14	50	93	7	0	28	46	32	16	22
peak183	chr1	2882878	2884582	.	1705	13	10	38	30	25	10	9	42	26	12	72
peak184	chr1	2904258	2905230	.	973	8	4	36	41	14	18	32	30	15	14	2
peak185	chr1	2967061	2967802	.	742	1	4	40	6	10	4	6	6	4	0	14
peak186	chr1	3002841	3004477	.	1637	6	2	42	10	4	0	3	6	2	8	20
peak187	chr1	3017414	3019578	.	2165	10	4	16	106	8	14	25	14	5	22	26
peak188	chr1	3062620	3064208	.	1589	16	9	60	64	14	21	54	36	22	23	22
peak189	chr1	3067249	3071741	.	4493	45	47	162	241	36	6	64	114	98	44	113
peak190	chr1	3072141	3074206	.	2066	18	4	73	132	20	5	19	25	15	25	12
peak191	chr1	3121669	3124240	.	2572	31	8	50	47	24	14	22	28	15	16	26
peak192	chr1	3125611	3126124	.	514	2	4	10	32	2	0	5	13	20	16	10
peak193	chr1	3135214	3137158	.	1945	8	16	62	66	17	14	22	18	10	17	36
peak194	chr1	3211274	3212622	.	1349	24	6	46	17	0	18	18	26	4	24	46
peak195	chr1	3215435	3216337	.	903	3	1	3	3	5	0	3	9	18	0	0
peak196	chr1	3240850	3241618	.	769	12	18	48	42	3	0	10	32	6	6	18
peak197	chr1	3393294	3394715	.	1422	14	10	84	86	20	4	32	44	12	14	40
peak198	chr1	3404110	3406095	.	1986	10	10	73	119	29	12	12	42	14	14	62
peak199	chr1	3411120	3413438	.	2319	14	16	100	92	14	11	23	30	24	20	52
peak200	chr1	3453047	3455455	.	2409	34	11	50	83	38	10	59	46	20	16	35
peak201	chr1	3462999	3463872	.	874	6	0	44	42	2	9	8	14	1	1	16
peak202	chr1	3465981	3468162	.	2182	26	9	80	86	48	10	23	32	10	24	40
peak203	chr1	3470984	3472177	.	1194	5	9	40	10	8	7	15	11	6	12	4
peak204	chr1	3472396	3473972	.	1577	6	9	48	40	8	10	17	24	4	10	25
peak205	chr1	3481238	3482457	.	1220	10	2	28	32	7	16	40	1	4	4	25
peak206	chr1	3493337	3495207	.	1871	2	14	46	55	29	4	18	24	10	0	18
peak207	chr1	3496430	3498320	.	1891	18	15	58	90	12	7	20	17	10	11	37
peak208	chr1	3499476	3502047	.	2572	14	20	94	123	18	34	38	68	26	29	88
peak209	chr1	3530068	3532210	.	2143	17	24	114	74	30	17	42	117	317	32	17
peak210	chr1	3540965	3543702	.	2738	39	28	67	116	19	17	29	56	12	30	24
peak211	chr1	3550405	3551230	.	826	0	2	24	36	7	2	10	30	0	13	8
peak212	chr1	3554928	3556247	.	1320	4	4	14	34	0	8	5	4	20	12	32
peak213	chr1	3570447	3571018	.	572	1	0	7	12	6	12	6	0	18	2	3
peak214	chr1	3597513	3598532	.	1020	10	8	42	82	18	2	14	4	8	24	30
peak215	chr1	3602083	3603240	.	1158	10	9	21	50	4	8	24	32	9	3	20
peak216	chr1	3607158	3608296	.	1139	4	10	42	29	10	2	6	11	6	8	22
peak217	chr1	3610635	3612322	.	1688	23	14	54	124	20	6	16	54	31	10	28
peak218	chr1	3623017	3626185	.	3169	68	84	146	184	188	70	176	254	1626	92	62
peak219	chr1	3649370	3650259	.	890	37	44	50	86	41	13	54	30	474	37	58
peak220	chr1	3650561	3653300	.	2740	37	64	114	196	42	22	54	74	142	49	48
peak221	chr1	3696214	3697372	.	1159	14	8	62	66	11	0	16	34	12	9	28
peak222	chr1	3746310	3747868	.	1559	20	26	68	145	51	16	50	29	220	54	14
peak223	chr1	3771164	3776296	.	5133	95	50	123	327	91	41	58	90	312	79	74
peak224	chr1	3789304	3790760	.	1457	12	12	30	62	16	3	8	24	30	8	21
peak225	chr1	3795071	3796750	.	1680	58	54	62	132	44	17	36	87	1332	48	10
peak226	chr1	3855691	3858288	.	2598	199	174	213	372	262	74	108	227	1622	222	247
peak227	chr1	3898958	3902955	.	3998	172	131	80	320	378	142	92	108	710	152	202
peak228	chr1	3907374	3908048	.	675	2	8	5	30	2	4	32	0	6	4	19
peak229	chr1	4000329	4001344	.	1016	3	6	38	2	10	6	8	8	8	6	8
peak230	chr1	4710786	4712660	.	1875	4	12	78	158	32	4	24	32	8	9	20
peak231	chr1	5836640	5837360	.	721	5	2	7	19	3	8	0	2	20	2	0
peak232	chr1	5858053	5859472	.	1420	12	23	46	20	2	2	14	18	8	8	30
peak233	chr1	5988567	5989985	.	1419	8	10	6	4	12	2	6	0	28	3	8
peak234	chr1	5991187	5994751	.	3565	258	334	313	508	489	221	166	301	3460	378	284
peak235	chr1	5994927	5996014	.	1088	0	4	4	2	21	14	0	1	22	6	5
peak236	chr1	6025219	6028687	.	3469	64	86	55	70	133	62	46	33	176	58	52
peak237	chr1	6088791	6089494	.	704	7	13	10	24	0	4	11	8	22	4	0
peak238	chr1	6109784	6110486	.	703	21	2	56	20	6	0	18	30	3	4	13
peak239	chr1	6154549	6154979	.	431	1	9	15	48	6	4	4	30	3	0	14
peak240	chr1	6198200	6200477	.	2278	104	50	42	132	120	54	41	30	628	115	88
peak241	chr1	6201572	6203237	.	1666	12	2	16	29	11	6	14	5	30	6	3
peak242	chr1	6204125	6209732	.	5608	76	98	150	259	187	54	92	143	1540	64	118
peak243	chr1	6210735	6211358	.	624	0	4	21	20	6	5	12	2	26	14	9
peak244	chr1	6234679	6237146	.	2468	72	19	68	144	70	42	108	133	1260	40	59
peak245	chr1	6241149	6242970	.	1822	25	20	58	87	30	8	47	72	32	10	16
peak246	chr1	6243999	6246931	.	2933	30	50	84	262	44	16	52	80	96	53	28
peak247	chr1	6259830	6261979	.	2150	58	47	90	150	57	2	54	76	164	40	64
peak248	chr1	6268389	6268846	.	458	6	0	0	24	0	11	8	34	13	9	21
peak249	chr1	6280792	6281605	.	814	11	2	9	30	7	2	13	32	8	6	16
peak250	chr1	6391966	6394321	.	2356	184	92	208	284	187	133	290	298	1416	166	32
peak251	chr1	6395665	6396371	.	707	8	17	40	36	23	2	22	52	22	0	1
peak252	chr1	6418447	6421276	.	2830	32	38	134	214	50	30	60	132	136	30	51
peak253	chr1	6423238	6425730	.	2493	22	10	72	58	39	12	29	48	58	14	20
peak254	chr1	6439601	6441354	.	1754	24	4	86	76	38	10	44	48	34	8	16
peak255	chr1	6446997	6449219	.	2223	15	14	82	92	25	6	56	76	45	27	50
peak256	chr1	6454053	6456681	.	2629	25	14	128	96	31	8	102	160	54	24	18
peak257	chr1	6460007	6462283	.	2277	47	57	76	140	131	48	46	56	100	89	56
peak258	chr1	6463444	6468670	.	5227	40	30	94	183	85	32	68	78	730	36	46
peak259	chr1	6470169	6472345	.	2177	19	32	118	181	16	14	40	98	48	20	82
peak260	chr1	6474663	6476401	.	1739	14	9	34	48	56	7	16	14	20	20	14
peak261	chr1	6483723	6484890	.	1168	1	0	8	15	2	12	1	4	22	13	22
peak262	chr1	6484977	6485952	.	976	10	6	74	117	6	8	28	40	15	10	25
peak263	chr1	6488855	6491136	.	2282	4	26	54	62	69	21	12	14	190	37	60
peak264	chr1	6497820	6499269	.	1450	18	3	11	14	18	6	12	2	22	18	8
peak265	chr1	6505648	6506610	.	963	2	26	43	86	8	2	20	58	16	10	52
peak266	chr1	6552811	6554885	.	2075	27	52	114	176	32	28	41	142	1658	36	32
